municipio,año,periodo,semana,temp_media,humedad,precipitacion
BARANOA,2017,1,1,27.144871738978818,88.80201394217355,5.2857145581926614
BARANOA,2017,1,2,26.76579546247212,85.07046726771763,0.032857143453189304
BARANOA,2017,1,3,26.622240774972116,88.50249699183873,3.857142857142857
BARANOA,2017,1,4,26.99488220214845,89.70773642403739,0.14285714285714285
BARANOA,2017,2,5,27.822909109933047,86.15296718052456,9.43428571415799
BARANOA,2017,2,6,27.698469325474353,84.07746887207031,0.16714285739830562
BARANOA,2017,2,7,26.92395717075895,89.92833709716797,12.571428571428571
BARANOA,2017,2,8,27.083673095703148,88.83483232770648,4.428571428571429
BARANOA,2017,3,9,27.70363115583149,82.7024666922433,3.88142857168402
BARANOA,2017,3,10,27.91797572544645,81.66615295410156,0.888571422547102
BARANOA,2017,3,11,27.151934378487745,88.56396593366351,5.367142979587827
BARANOA,2017,3,12,27.137778581891762,87.87913513183594,9.758571462971824
BARANOA,2017,4,13,27.697660609654037,89.7925785609654,14.86571433714458
BARANOA,2017,4,14,28.84189540318082,85.6690183367048,6.3599999991378615
BARANOA,2017,4,15,28.478154209681936,83.82013266427177,2.1085714285394976
BARANOA,2017,4,16,27.93500017438618,89.87661852155414,10.711428484746389
BARANOA,2017,5,17,28.505277797154037,89.6842793055943,10.86428571173123
BARANOA,2017,5,18,27.44859575544087,90.9115971156529,13.179999845368522
BARANOA,2017,5,19,26.766510445731047,92.49443926130023,23.18142822810582
BARANOA,2017,5,20,27.537002999441977,91.92779650006976,10.302857186113085
BARANOA,2017,6,21,27.748335048130603,91.23451014927456,10.951428481510707
BARANOA,2017,6,22,27.789036778041314,90.37560054234096,5.508571377822331
BARANOA,2017,6,23,27.449916730608283,92.41043526785714,8.872857119355883
BARANOA,2017,6,24,27.069105311802474,92.0572749546596,18.665714263916016
BARANOA,2017,7,25,27.282401384626137,92.18558938162667,13.13714314358575
BARANOA,2017,7,26,27.4406197684152,92.32081059047154,9.144285661833626
BARANOA,2017,7,27,27.94100123814176,90.52939823695591,2.661428584584168
BARANOA,2017,7,28,27.06032714843752,92.48133414132255,11.188571521214076
BARANOA,2017,8,29,27.17996041434154,93.45639147077289,7.43999998484339
BARANOA,2017,8,30,27.98591875348774,92.30505044119698,7.5171429089137485
BARANOA,2017,8,31,26.576133074079262,93.32053048270089,16.54857158235141
BARANOA,2017,8,32,27.357433210100464,94.07176208496095,12.609999963215419
BARANOA,2017,9,33,27.315674264090426,93.43313816615513,10.428571428571429
BARANOA,2017,9,34,26.929127720424127,94.73932320731026,7.864285741533552
BARANOA,2017,9,35,27.2529497419085,93.62928118024554,7.398571574262211
BARANOA,2017,9,36,26.74923531668528,93.85075269426618,14.104285819189888
BARANOA,2017,10,37,26.828999546596005,94.50643266950335,8.37714290193149
BARANOA,2017,10,38,26.92162039620538,95.13487788609096,8.05428579875401
BARANOA,2017,10,39,26.748212977818103,94.96067701067243,15.398571525301252
BARANOA,2017,10,40,26.387089756556943,94.95841108049665,12.744285651615687
BARANOA,2017,11,41,27.144246128627255,94.34795815604073,4.769999980926514
BARANOA,2017,11,42,27.790174647739978,94.05775887625558,14.444285660982132
BARANOA,2017,11,43,26.592098127092658,94.83468736921039,16.420000076293945
