municipio,año,fecha,precipitacion
BARRANQUILLA,2017,2017-01-01,0.0
BARANOA,2017,2017-01-01,27.000001907348633
CAMPO DE LA CRUZ,2017,2017-01-01,30.000001907348633
CANDELARIA,2017,2017-01-01,30.000001907348633
GALAPA,2017,2017-01-01,0.0
JUAN DE ACOSTA,2017,2017-01-01,7.0
LURUACO,2017,2017-01-01,3.5
MALAMBO,2017,2017-01-01,9.000000635782877
MANATÍ,2017,2017-01-01,8.0
PALMAR DE VARELA,2017,2017-01-01,27.000001907348633
PIOJÓ,2017,2017-01-01,2.3333333333333335
POLONUEVO,2017,2017-01-01,27.000001907348633
PONEDERA,2017,2017-01-01,28.500001907348633
PUERTO COLOMBIA,2017,2017-01-01,0.0
REPELÓN,2017,2017-01-01,4.0
SABANAGRANDE,2017,2017-01-01,27.000001907348633
SABANALARGA,2017,2017-01-01,17.0
SANTA LUCÍA,2017,2017-01-01,22.666667938232422
SANTO TOMÁS,2017,2017-01-01,27.000001907348633
SOLEDAD,2017,2017-01-01,0.0
SUAN,2017,2017-01-01,30.000001907348633
TUBARÁ,2017,2017-01-01,0.0
USIACURÍ,2017,2017-01-01,17.00000063578288
BARRANQUILLA,2017,2017-01-02,0.0
BARANOA,2017,2017-01-02,0.0
CAMPO DE LA CRUZ,2017,2017-01-02,0.0
CANDELARIA,2017,2017-01-02,0.0
GALAPA,2017,2017-01-02,0.0
JUAN DE ACOSTA,2017,2017-01-02,0.0
LURUACO,2017,2017-01-02,0.0
MALAMBO,2017,2017-01-02,0.0
MANATÍ,2017,2017-01-02,0.0
PALMAR DE VARELA,2017,2017-01-02,0.0
PIOJÓ,2017,2017-01-02,0.0
POLONUEVO,2017,2017-01-02,0.0
PONEDERA,2017,2017-01-02,0.0
PUERTO COLOMBIA,2017,2017-01-02,0.0
REPELÓN,2017,2017-01-02,0.0
SABANAGRANDE,2017,2017-01-02,0.0
SABANALARGA,2017,2017-01-02,0.0
SANTA LUCÍA,2017,2017-01-02,0.0
SANTO TOMÁS,2017,2017-01-02,0.0
SOLEDAD,2017,2017-01-02,0.0
