municipio,año,continuidad_horas_dia,continuidad_porcentaje,clasificacion
BARANOA,2017,23.64,98.57,Continuo
BARANOA,2018,23.73,98.93,Continuo
BARANOA,2019,23.54,98.34,Continuo
BARANOA,2020,23.66,98.71,Continuo
BARANOA,2021,23.63,98.8,Continuo
BARANOA,2022,23.85,99.54,Continuo
BARANOA,2023,23.87,99.63,Continuo
BARRANQUILLA,2017,23.78,99.45,Continuo
BARRANQUILLA,2018,23.78,99.35,Continuo
BARRANQUILLA,2019,23.8,99.34,Continuo
BARRANQUILLA,2020,23.73,98.99,Continuo
BARRANQUILLA,2021,23.69,99.0,Continuo
BARRANQUILLA,2022,23.78,99.41,Continuo
BARRANQUILLA,2023,23.87,99.67,Continuo
CAMPO DE LA CRUZ,2017,23.6013010816785,98.64824082525033,Imputado Vecinos
CAMPO DE LA CRUZ,2018,12.73,53.33,No Satisfactorio
CAMPO DE LA CRUZ,2019,14.44,60.64,No Satisfactorio
CAMPO DE LA CRUZ,2020,24.0,100.0,Continuo
CAMPO DE LA CRUZ,2021,24.0,100.0,Continuo
CAMPO DE LA CRUZ,2022,24.0,100.0,Continuo
CAMPO DE LA CRUZ,2023,17.42,73.3,No Satisfactorio
CANDELARIA,2017,23.588335817789645,98.6011749188968,Imputado Vecinos
CANDELARIA,2018,12.44,52.05,No Satisfactorio
CANDELARIA,2019,16.63,69.7,No Satisfactorio
CANDELARIA,2020,24.0,100.0,Continuo
CANDELARIA,2021,24.0,100.0,Continuo
CANDELARIA,2022,24.0,100.0,Continuo
CANDELARIA,2023,5.71,23.83,Insuficiente
GALAPA,2017,23.86,99.59,Continuo
GALAPA,2018,23.77,99.02,Continuo
GALAPA,2019,23.78,99.24,Continuo
GALAPA,2019,23.59,98.5,Continuo
GALAPA,2020,23.82,99.41,Continuo
GALAPA,2020,23.8,99.47,Continuo
GALAPA,2021,23.88,99.49,Continuo
GALAPA,2021,23.7,99.17,Continuo
GALAPA,2022,23.84,99.44,Continuo
GALAPA,2022,23.45,98.22,Continuo
GALAPA,2023,23.94,99.84,Continuo
GALAPA,2023,23.22,97.29,Continuo
JUAN DE ACOSTA,2017,23.07,96.26,Suficiente
JUAN DE ACOSTA,2018,23.58,98.3,Continuo
JUAN DE ACOSTA,2019,23.54,98.12,Continuo
JUAN DE ACOSTA,2020,23.32,97.21,Continuo
JUAN DE ACOSTA,2021,23.5,98.29,Continuo
JUAN DE ACOSTA,2022,23.47,98.09,Continuo
JUAN DE ACOSTA,2023,23.18,96.76,Continuo
LURUACO,2017,23.03791946584945,96.09090103559934,Imputado Vecinos
LURUACO,2018,17.07,71.65,No Satisfactorio
LURUACO,2019,18.58,78.11,Suficiente
LURUACO,2020,24.0,100.0,Continuo
LURUACO,2021,24.0,100.0,Continuo
LURUACO,2022,24.0,100.0,Continuo
LURUACO,2023,9.66,40.53,Insuficiente
MALAMBO,2017,6.78,28.34,Insuficiente
MALAMBO,2018,24.0,100.0,Continuo
MALAMBO,2018,1.59,6.42,Insuficiente
MALAMBO,2019,24.0,100.0,Continuo
MALAMBO,2019,13.72,57.68,No Satisfactorio
MALAMBO,2020,24.0,100.0,Continuo
MALAMBO,2020,17.16,72.2,No Satisfactorio
MALAMBO,2021,17.19,72.31,No Satisfactorio
MALAMBO,2022,23.89,99.64,Continuo
MALAMBO,2022,17.78,74.81,No Satisfactorio
MALAMBO,2023,23.9,99.71,Continuo
MALAMBO,2023,19.74,83.01,Suficiente
