"MUNICIPIO","año","casos","poblacion","esperado","REM"
"BARANOA","2018",162,62371,74.797299696656,2.16585358906002
"BARANOA","2019",395,64550,96.4919855479354,4.09360422792597
"BARANOA","2020",170,66927,60.5038716126879,2.80973755015622
"BARANOA","2021",109,68800,148.508845531708,0.73396301486114
"BARANOA","2022",96,70464,200.095021459342,0.479772056795059
"BARANOA","2023",89,72072,101.114961866528,0.8801862588593
"CAMPO DE LA CRUZ","2018",0,22876,27.433631461107,0
"CAMPO DE LA CRUZ","2019",30,23641,35.3395357140006,0.84890758732053
"CAMPO DE LA CRUZ","2020",6,24454,22.1070969327278,0.271406056537323
"CAMPO DE LA CRUZ","2021",15,25124,54.2316313246896,0.276591347772551
"CAMPO DE LA CRUZ","2022",79,25669,72.8916766836945,1.08380001111529
"CAMPO DE LA CRUZ","2023",17,26217,36.7817037858636,0.462186311405554
"CANDELARIA","2018",1,15977,19.1601298240123,0.0521917131660953
"CANDELARIA","2019",28,16579,24.7829686816301,1.12980815009279
"CANDELARIA","2020",2,17240,15.5854400556239,0.128324897652044
"CANDELARIA","2021",1,17758,38.3316871940709,0.0260880768158486
"CANDELARIA","2022",13,18197,51.6736078777198,0.251579104574295
"CANDELARIA","2023",7,18647,26.1612095394209,0.267571726355086
"GALAPA","2018",136,60724,72.822164576161,1.86756327268691
"GALAPA","2019",62,62945,94.0927657678512,0.658924195649307
"GALAPA","2020",35,65478,59.1939352646254,0.591276789480766
"GALAPA","2021",166,66754,144.092434224181,1.15203827941261
"GALAPA","2022",362,67560,191.848598572223,1.8869045835835
"GALAPA","2023",76,68313,95.8411920022772,0.792978451250838
"JUAN DE ACOSTA","2018",49,21005,25.1898683703686,1.94522652042278
"JUAN DE ACOSTA","2019",34,21596,32.2825859007469,1.05319939686781
"JUAN DE ACOSTA","2020",9,22270,20.1327001182566,0.447033927249464
"JUAN DE ACOSTA","2021",27,22748,49.1028956127224,0.549865739343575
"JUAN DE ACOSTA","2022",99,23149,65.7356898808229,1.50603120130761
"JUAN DE ACOSTA","2023",31,23545,33.0329639408841,0.93845650833748
"LURUACO","2018",5,28173,33.7859634181573,0.147990452073742
"LURUACO","2019",49,29047,43.4206460760787,1.12849541469617
"LURUACO","2020",31,30001,27.1217393914601,1.14299453853469
"LURUACO","2021",168,30713,66.2958164653396,2.53409655325435
"LURUACO","2022",12,31315,88.9244947348901,0.134945945273859
"LURUACO","2023",6,31844,44.6762244100027,0.134299620866275
"MALAMBO","2018",157,128199,153.740344451934,1.02120234320852
"MALAMBO","2019",164,133000,198.813850935328,0.824892225709906
"MALAMBO","2020",221,138416,125.131918256336,1.76613611522582
"MALAMBO","2021",730,141679,305.822452414054,2.38700590567383
"MALAMBO","2022",245,144155,409.353681574583,0.598504449886965
"MALAMBO","2023",158,146583,205.651771218799,0.768289030838929
"MANATÍ","2018",4,19803,23.7483914943304,0.168432459981761
"MANATÍ","2019",49,20521,30.6756318424351,1.59735911070024
"MANATÍ","2020",6,21325,19.2783938043028,0.311229247670045
"MANATÍ","2021",48,21908,47.2897062196027,1.01502005060253
"MANATÍ","2022",137,22405,63.6229699675942,2.1533103542601
"MANATÍ","2023",9,22882,32.1027938371336,0.280349431443865
"PALMAR DE VARELA","2018",6,28928,34.6913835857188,0.172953609220417
"PALMAR DE VARELA","2019",23,30007,44.8556934211758,0.512755421793167
"PALMAR DE VARELA","2020",16,31160,28.1695076643411,0.567990047630613
"PALMAR DE VARELA","2021",8,32090,69.268151934775,0.115493192420278
"PALMAR DE VARELA","2022",16,32941,93.5418100291239,0.171046508454545
"PALMAR DE VARELA","2023",31,33778,47.3895712888165,0.654152362153057
"PIOJÓ","2018",7,6609,7.92572435419024,0.8832000315907
"PIOJÓ","2019",0,6830,10.2097639239721,0
"PIOJÓ","2020",6,7079,6.39961311796761,0.937556675598772
"PIOJÓ","2021",10,7272,15.6970396032934,0.637062799911769
"PIOJÓ","2022",10,7420,21.0704055862329,0.474599312247403
"PIOJÓ","2023",36,7571,10.6218972179415,3.38922503780135
"POLONUEVO","2018",199,18187,21.8104325661458,9.12407396765197
"POLONUEVO","2019",116,18749,28.0267736179433,4.13889952447949
"POLONUEVO","2020",13,19368,17.5092113107496,0.742466337819498
"POLONUEVO","2021",27,19836,42.8171723832408,0.63058811446802
"POLONUEVO","2022",26,20229,57.4438321568607,0.452616042902611
"POLONUEVO","2023",13,20628,28.9404960786816,0.449197552269195
"PONEDERA","2018",6,23842,28.5920895827816,0.209848251301411
"PONEDERA","2019",56,24518,36.6505112573862,1.52794594342021
"PONEDERA","2020",27,25284,22.8574400444544,1.1812346416523
"PONEDERA","2021",9,25818,55.7296711328147,0.161493865243727
"PONEDERA","2022",38,26243,74.5216514554597,0.509918919640582
"PONEDERA","2023",50,26657,37.3990112453662,1.3369337406265
"PUERTO COLOMBIA","2018",38,49250,59.062176493247,0.643389767465559
"PUERTO COLOMBIA","2019",41,52086,77.8602875174247,0.526584235780332
"PUERTO COLOMBIA","2020",25,55121,49.8309188692601,0.501696548393815
"PUERTO COLOMBIA","2021",70,57267,123.614186875935,0.566278044366017
"PUERTO COLOMBIA","2022",539,59069,167.73689859477,3.21336572045577
"PUERTO COLOMBIA","2023",53,60841,85.3581889627237,0.620912892413232
