MUNICIPIO,casos,esperado,REM
BARANOA,1021,681.5119857148574,1.4981394625496482
CAMPO DE LA CRUZ,147,248.78527590208307,0.590870980876924
CANDELARIA,52,175.6950431724779,0.2959673708549203
GALAPA,837,657.8910904073189,1.2722470515321764
JUAN DE ACOSTA,249,225.47670382380153,1.104326947206842
LURUACO,271,304.2248844959285,0.8907884062443513
MALAMBO,1675,1398.514018851034,1.1976998281190747
MANATÍ,253,216.7178871653988,1.167416327785213
PALMAR DE VARELA,100,317.9161179239511,0.31454838041247424
PIOJÓ,69,71.92444380359775,0.9593400567464455
POLONUEVO,394,196.5479181136218,2.0046002205540217
PONEDERA,186,255.75037471826278,0.7272716616931627
PUERTO COLOMBIA,766,563.4626573133605,1.3594512254855633
REPELÓN,95,281.55135540080073,0.3374162410433554
SABANAGRANDE,94,355.5907209644421,0.26434885518117807
SABANALARGA,1083,990.3624601657993,1.093539025922582
SANTA LUCÍA,41,176.09186272461722,0.2328330188892272
SANTO TOMÁS,73,329.2815433864579,0.22169478206777082
SOLEDAD,6673,6619.401821700633,1.008097133206758
SUAN,119,130.5730024467567,0.9113675704020379
TUBARÁ,74,188.2102452875394,0.3931773208570343
USIACURÍ,250,136.51858651726292,1.8312524790782774
