,municipio,2017,2018,2019,2020,2021,2022,2023,total_casos_clasico
0,BARANOA,7,158,387,167,105,95,267,1186
1,CAMPO DE LA CRUZ,4,0,29,6,12,76,18,145
2,CANDELARIA,3,1,28,2,1,11,42,88
3,DESCONOCIDO,1,20,3,0,0,0,2,26
4,GALAPA,38,134,61,35,160,342,339,1109
5,JUAN DE ACOSTA,3,49,34,9,27,94,109,325
6,LURUACO,13,5,47,31,166,10,9,281
7,MALAMBO,22,154,159,216,717,231,546,2045
8,MANATÍ,4,4,48,6,48,131,15,256
9,PALMAR DE VARELA,10,6,22,16,8,15,106,183
10,PIOJÓ,0,7,0,6,10,9,46,78
11,POLONUEVO,5,197,114,13,27,26,61,443
12,PONEDERA,3,6,56,27,8,36,118,254
13,PUERTO COLOMBIA,13,38,41,24,67,490,211,884
14,REPELÓN,11,1,22,57,5,1,12,109
15,SABANAGRANDE,5,12,14,27,18,15,42,133
16,SABANALARGA,10,98,318,117,168,297,137,1145
17,SANTA LUCÍA,0,0,3,17,8,11,16,55
18,SANTO TOMÁS,11,7,11,9,11,16,82,147
19,SOLEDAD,317,664,605,455,1518,2051,3013,8623
20,SUAN,0,1,20,15,4,61,46,147
21,TUBARÁ,9,11,3,16,9,27,23,98
22,USIACURÍ,12,18,6,2,2,9,349,398
