"municipio","año","casos","poblacion","esperado","REM"
"BARANOA","2017",7,60676,23.6093568577684,0.296492616981082
"BARANOA","2018",158,62371,74.6565268615933,2.11635883213424
"BARANOA","2019",387,64550,95.133603227115,4.06796323141577
"BARANOA","2020",167,66927,59.476006612318,2.80785495718559
"BARANOA","2021",105,68800,145.091082062662,0.723683347779104
"BARANOA","2022",95,70464,190.553257457405,0.498548286539976
"BARANOA","2023",267,72072,264.530700144289,1.00933464378374
"BARANOA","total_clasico",1186,NA,NA,NA
"CAMPO DE LA CRUZ","2017",4,22604,8.79533757025837,0.454786410191473
"CAMPO DE LA CRUZ","2018",0,22876,27.3819997833257,0
"CAMPO DE LA CRUZ","2019",29,23641,34.8420373956967,0.83232790524419
"CAMPO DE LA CRUZ","2020",6,24454,21.7315323516312,0.276096498991228
"CAMPO DE LA CRUZ","2021",12,25124,52.9835515369524,0.226485383706882
"CAMPO DE LA CRUZ","2022",76,25669,69.415752237655,1.09485235771562
"CAMPO DE LA CRUZ","2023",18,26217,96.2260151748643,0.187059600953962
"CAMPO DE LA CRUZ","total_clasico",145,NA,NA,NA
"CANDELARIA","2017",3,15543,6.04786461929419,0.496042849641385
"CANDELARIA","2018",1,15977,19.1240693538291,0.0522901262016065
"CANDELARIA","2019",28,16579,24.4340822293159,1.14594031964114
"CANDELARIA","2020",2,17240,15.320668101011,0.130542609944538
"CANDELARIA","2021",1,17758,37.4495266754179,0.0267026071829208
"CANDELARIA","2022",11,18197,49.2094917397876,0.223534111227288
"CANDELARIA","2023",42,18647,68.4413359639049,0.613664233879804
"CANDELARIA","total_clasico",88,NA,NA,NA
"DESCONOCIDO","2017",1,NA,NA,NA
"DESCONOCIDO","2018",20,NA,NA,NA
"DESCONOCIDO","2019",3,NA,NA,NA
"DESCONOCIDO","2020",0,NA,NA,NA
"DESCONOCIDO","2021",0,NA,NA,NA
"DESCONOCIDO","2022",0,NA,NA,NA
"DESCONOCIDO","2023",2,NA,NA,NA
"DESCONOCIDO","total_clasico",26,NA,NA,NA
"GALAPA","2017",38,58493,22.7599398556505,1.66960019406932
"GALAPA","2018",134,60724,72.6851090593928,1.8435688098164
"GALAPA","2019",61,62945,92.7681588711193,0.657553202977176
"GALAPA","2020",35,65478,58.1883240091645,0.601495241459224
"GALAPA","2021",160,66754,140.776309476903,1.13655486917172
"GALAPA","2022",342,67560,182.700074844208,1.871920415422
"GALAPA","2023",339,68313,250.733790084316,1.35203157055937
"GALAPA","total_clasico",1109,NA,NA,NA
"JUAN DE ACOSTA","2017",3,20366,7.92451977330924,0.378571836000002
"JUAN DE ACOSTA","2018",49,21005,25.1424595842261,1.94889445226519
"JUAN DE ACOSTA","2019",34,21596,31.8281223128238,1.06823769450896
"JUAN DE ACOSTA","2020",9,22270,19.7906774135449,0.454759572496509
"JUAN DE ACOSTA","2021",27,22748,47.9728478889744,0.562818368892488
"JUAN DE ACOSTA","2022",94,23149,62.6010069947983,1.50157328951291
"JUAN DE ACOSTA","2023",109,23545,86.418794190494,1.26129970940962
"JUAN DE ACOSTA","total_clasico",325,NA,NA,NA
"LURUACO","2017",13,27455,10.6828876743693,1.21689943733004
"LURUACO","2018",5,28173,33.7223762849989,0.148269503837551
"LURUACO","2019",47,29047,42.8093845536485,1.0978901119473
"LURUACO","2020",31,30001,26.6609839732268,1.16274778271989
"LURUACO","2021",166,30713,64.770093072537,2.56291124692525
"LURUACO","2022",10,31315,84.6840266984365,0.118086023892208
"LURUACO","2023",9,31844,116.879171042773,0.07700259951969
"LURUACO","total_clasico",281,NA,NA,NA
"MALAMBO","2017",22,124251,48.3467301558208,0.455046286048598
"MALAMBO","2018",154,128199,153.450996250331,1.00357771381799
"MALAMBO","2019",159,133000,196.015015169733,0.811162348263569
"MALAMBO","2020",216,138416,123.006125050437,1.75601011666234
"MALAMBO","2021",717,141679,298.784293830755,2.39972453306445
"MALAMBO","2022",231,144155,389.833174795246,0.592561164455358
"MALAMBO","2023",546,146583,538.013425730524,1.01484456314196
"MALAMBO","total_clasico",2045,NA,NA,NA
"MANATÍ","2017",4,19426,7.55876073437618,0.529187275608363
"MANATÍ","2018",4,19803,23.7036956508655,0.168750057329307
"MANATÍ","2019",48,20521,30.243790423294,1.58710265241853
"MANATÍ","2020",6,21325,18.9508844114883,0.316607914951067
"MANATÍ","2021",48,21908,46.2013870033256,1.03892984850314
"MANATÍ","2022",131,22405,60.5890345897644,2.16210739925093
"MANATÍ","2023",15,22882,83.9853407800757,0.17860259731849
"MANATÍ","total_clasico",256,NA,NA,NA
"PALMAR DE VARELA","2017",10,28113,10.9389190016224,0.914167112720811
"PALMAR DE VARELA","2018",6,28928,34.6260923995474,0.173279731676521
"PALMAR DE VARELA","2019",22,30007,44.2242297759262,0.497464853802289
"PALMAR DE VARELA","2020",16,31160,27.6909523217809,0.577806057880317
"PALMAR DE VARELA","2021",8,32090,67.6740235957969,0.118213748421142
"PALMAR DE VARELA","2022",15,32941,89.0811599384703,0.168385773269687
"PALMAR DE VARELA","2023",106,33778,123.97766108161,0.854992738814649
"PALMAR DE VARELA","total_clasico",183,NA,NA,NA
"PIOJÓ","2017",0,6415,2.49611088803784,0
"PIOJÓ","2018",7,6609,7.91080768351109,0.884865399343542
"PIOJÓ","2019",0,6830,10.0660342376638,0
"PIOJÓ","2020",6,7079,6.29089382175503,0.953759540377384
"PIOJÓ","2021",10,7272,15.3357899529023,0.652069442181391
"PIOJÓ","2022",9,7420,20.0656387706339,0.448527958809442
"PIOJÓ","2023",46,7571,27.7883495780943,1.65536999132406
"PIOJÓ","total_clasico",78,NA,NA,NA
"POLONUEVO","2017",5,17698,6.88638667131626,0.726070178548993
"POLONUEVO","2018",197,18187,21.7693840732359,9.04940623663299
"POLONUEVO","2019",114,18749,27.6322219505062,4.12561828014382
"POLONUEVO","2020",13,19368,17.2117575278643,0.755297649235074
"POLONUEVO","2021",27,19836,41.831783485392,0.645442239139257
"POLONUEVO","2022",26,20229,54.7045561578372,0.475280339081503
"POLONUEVO","2023",61,20628,75.7123332580807,0.805681153585233
"POLONUEVO","total_clasico",443,NA,NA,NA
"PONEDERA","2017",3,23193,9.02452062763238,0.332427629542364
"PONEDERA","2018",6,23842,28.5382776199533,0.210243942535794
"PONEDERA","2019",56,24518,36.1345574581318,1.54976299529573
"PONEDERA","2020",27,25284,22.4691283216915,1.20164875172013
"PONEDERA","2021",8,25818,54.4471156496194,0.146931566613776
"PONEDERA","2022",36,26243,70.9679997651946,0.507270884329697
"PONEDERA","2023",118,26657,97.8409767142067,1.20603865540588
"PONEDERA","total_clasico",254,NA,NA,NA
"PUERTO COLOMBIA","2017",13,47674,18.5502089596752,0.700800731046193
"PUERTO COLOMBIA","2018",38,49250,58.9510180682283,0.644602947416783
"PUERTO COLOMBIA","2019",41,52086,76.7641960912085,0.534103163814615
"PUERTO COLOMBIA","2020",24,55121,48.9843704405932,0.489952198714211
"PUERTO COLOMBIA","2021",67,57267,120.769345879106,0.554776541284485
"PUERTO COLOMBIA","2022",490,59069,159.73816934536,3.06751981701131
"PUERTO COLOMBIA","2023",211,60841,223.308806852573,0.94487988617171
"PUERTO COLOMBIA","total_clasico",884,NA,NA,NA
"REPELÓN","2017",11,25524,9.93152522311426,1.10758415780881
"REPELÓN","2018",1,26207,31.3691234622144,0.0318784807999034
"REPELÓN","2019",22,26977,39.758624543112,0.553339061720921
"REPELÓN","2020",57,27800,24.7050216478019,2.3072232363363
"REPELÓN","2021",5,28418,59.9302088671037,0.0834303783437096
"REPELÓN","2022",1,28912,78.1856803418552,0.0127900658487289
"REPELÓN","2023",12,29382,107.842727156725,0.111273150414313
"REPELÓN","total_clasico",109,NA,NA,NA
"SABANAGRANDE","2017",5,31373,12.2074024770711,0.409587544065282
"SABANAGRANDE","2018",12,32341,38.711368027301,0.309986461639306
"SABANAGRANDE","2019",14,33538,49.4282073591167,0.283239080436078
"SABANAGRANDE","2020",27,34851,30.9710327139405,0.871782360290716
"SABANAGRANDE","2021",18,35912,75.7341706254989,0.237673428669457
"SABANAGRANDE","2022",15,36855,99.6656491767804,0.150503208717318
"SABANAGRANDE","2023",42,37771,138.633437051142,0.302957215036846
"SABANAGRANDE","total_clasico",133,NA,NA,NA
"SABANALARGA","2017",10,90769,35.3187044733137,0.283136093158679
"SABANALARGA","2018",98,93248,111.615523509161,0.878014069359778
"SABANALARGA","2019",318,95541,140.808049355876,2.25839361779874
"SABANALARGA","2020",117,98114,87.1909530198719,1.34188233925295
"SABANALARGA","2021",168,99882,210.639352595681,0.797571763916659
"SABANALARGA","2022",297,101256,273.82295409155,1.08464245075926
"SABANALARGA","2023",137,102557,376.421842250775,0.363953375236737
"SABANALARGA","total_clasico",1145,NA,NA,NA
"SANTA LUCÍA","2017",0,15548,6.04981014609702,0
