"departamento","año","casos","poblacion","esperado","REM"
"AMAZONAS","2013",274,69953,188.513837499782,1.45347420451466
"AMAZONAS","2014",485,71215,163.513740676375,2.96611158177776
"AMAZONAS","2015",160,72485,148.651389697322,1.07634378881883
"AMAZONAS","2016",115,73790,157.681417872209,0.729318657530088
"AMAZONAS","2017",62,75104,39.6211168471843,1.56482211844581
"AMAZONAS","2018",48,76573,69.2399559961403,0.693241341786464
"AMAZONAS","2019",1713,78065,195.840185890111,8.74692797198012
"AMAZONAS","2020",202,79583,120.626605715052,1.67458910745752
"AMAZONAS","2021",312,80865,77.9989880591726,4.00005189507467
"AMAZONAS","2022",473,81996,104.256655093427,4.53688063918923
"AMAZONAS","2023",1004,83087,201.481371678111,4.98309095097885
"AMAZONAS","total_clasico",4848,NA,NA,NA
"ANTIOQUIA","2013",5761,6001151,16172.2871703237,0.3562266696928
"ANTIOQUIA","2014",6762,6066806,13929.735912629,0.485436338665217
"ANTIOQUIA","2015",6779,6134953,12581.4898141374,0.53880741471353
"ANTIOQUIA","2016",27622,6211312,13272.9161540407,2.08107997364174
"ANTIOQUIA","2017",4088,6296843,3321.89966275264,1.23062115506901
"ANTIOQUIA","2018",3668,6407149,5793.56581067366,0.633116136049121
"ANTIOQUIA","2019",4978,6518070,16351.7586683502,0.304432085928177
"ANTIOQUIA","2020",2133,6642072,10067.6099201461,0.21186756508431
"ANTIOQUIA","2021",1238,6721140,6482.92980404411,0.190963042547171
"ANTIOQUIA","2022",2007,6777249,8617.168050579,0.232907143996704
"ANTIOQUIA","2023",5239,6826125,16552.9749328565,0.316498999198082
"ANTIOQUIA","total_clasico",70275,NA,NA,NA
"ARAUCA","2013",1013,234529,632.023813060001,1.60278771000015
"ARAUCA","2014",704,236931,544.007218875154,1.29410047435706
"ARAUCA","2015",726,239772,491.721611512812,1.47644517345173
"ARAUCA","2016",310,244206,521.842367975343,0.594049121007069
"ARAUCA","2017",297,250502,132.152335594021,2.24740636376189
"ARAUCA","2018",536,262177,237.069514622649,2.26094021769593
"ARAUCA","2019",1954,266031,667.386927464705,2.92783679090469
"ARAUCA","2020",346,270495,409.998287484677,0.843905963907059
"ARAUCA","2021",262,273137,263.456496648961,0.994471585755194
"ARAUCA","2022",1412,274806,349.411609829802,4.0410792322779
"ARAUCA","2023",1203,276240,669.866695299641,1.79587970030646
"ARAUCA","total_clasico",8763,NA,NA,NA
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2013",67,61543,165.850029323246,0.403979428121867
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2014",99,61463,141.122587140237,0.701517751383207
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2015",153,61406,125.930706156498,1.2149538795555
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2016",68,61358,131.115550044762,0.51862650903562
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2017",23,61309,32.3435642946317,0.711115194060955
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2018",16,61284,55.4151132026623,0.288729898312854
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2019",28,61679,154.732938263193,0.180956946299135
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2020",69,62127,94.1679646816412,0.73273326266817
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2021",189,62573,60.3552919041193,3.13145697812623
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2022",109,62801,79.8505072994089,1.36505081415816
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2023",123,63007,152.788484183118,0.805034493650606
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","total_clasico",944,NA,NA,NA
"ATLÁNTICO","2013",7550,2341335,6309.57994256931,1.19659312802455
"ATLÁNTICO","2014",6523,2366899,5434.53639392221,1.20028637719587
"ATLÁNTICO","2015",4317,2393557,4908.67868344832,0.879462739037408
"ATLÁNTICO","2016",1361,2427046,5186.34035128164,0.26242010894323
"ATLÁNTICO","2017",1157,2468429,1302.21977308769,0.888482899669567
"ATLÁNTICO","2018",3245,2535506,2292.6922527255,1.41536658316982
"ATLÁNTICO","2019",3905,2608908,6544.91805149809,0.596646125936775
"ATLÁNTICO","2020",2613,2693388,4082.4579660688,0.640055579682107
"ATLÁNTICO","2021",7661,2741296,2644.13916985912,2.89735127686497
"ATLÁNTICO","2022",10143,2774009,3527.10985339606,2.87572557181168
