"municipio","año","casos","poblacion","esperado","REM"
"BARANOA","2017",0,60676,0.524705173892569,0
"BARANOA","2018",4,62371,1.04493608518117,3.82798532534788
"BARANOA","2019",8,64550,1.51721260661474,5.27282726568552
"BARANOA","2020",3,66927,1.04039422650925,2.88352234524183
"BARANOA","2021",3,68800,3.41225880980115,0.879183018410853
"BARANOA","2022",1,70464,9.65924473337155,0.10352776305016
"BARANOA","2023",1,72072,2.67377902146823,0.374002485609628
"BARANOA","total_grave",20,NA,NA,NA
"CAMPO DE LA CRUZ","2017",0,22604,0.195471615641566,0
"CAMPO DE LA CRUZ","2018",0,22876,0.383254363159233,0
"CAMPO DE LA CRUZ","2019",1,23641,0.55566883397334,1.79963305274735
"CAMPO DE LA CRUZ","2020",0,24454,0.380142549569786,0
"CAMPO DE LA CRUZ","2021",3,25124,1.24606962699773,2.40757011887704
"CAMPO DE LA CRUZ","2022",3,25669,3.51872095056929,0.852582527044276
"CAMPO DE LA CRUZ","2023",0,26217,0.972617169023098,0
"CAMPO DE LA CRUZ","total_grave",7,NA,NA,NA
"CANDELARIA","2017",0,15543,0.134410516807506,0
"CANDELARIA","2018",0,15977,0.267671575458781,0
"CANDELARIA","2019",0,16579,0.389680368784908,0
"CANDELARIA","2020",0,17240,0.267999409282044,0
"CANDELARIA","2021",0,17758,0.880739708494896,0
"CANDELARIA","2022",2,18197,2.49445498996881,0.801778347592076
"CANDELARIA","2023",1,18647,0.691779850889641,1.44554658351784
"CANDELARIA","total_grave",3,NA,NA,NA
"DESCONOCIDO","2017",1,NA,NA,NA
"DESCONOCIDO","2018",0,NA,NA,NA
"DESCONOCIDO","2019",0,NA,NA,NA
"DESCONOCIDO","2020",0,NA,NA,NA
"DESCONOCIDO","2021",0,NA,NA,NA
"DESCONOCIDO","2022",0,NA,NA,NA
"DESCONOCIDO","2023",0,NA,NA,NA
"DESCONOCIDO","total_grave",1,NA,NA,NA
"GALAPA","2017",1,58493,0.505827340900818,1.97695916993953
"GALAPA","2018",2,60724,1.01734297728979,1.96590534819242
"GALAPA","2019",1,62945,1.47948795543555,0.675909524187783
"GALAPA","2020",0,65478,1.0178692181537,0
"GALAPA","2021",6,66754,3.31078378763759,1.81225968980635
