municipio,2017,2018,2019,2020,2021,2022,total_casos_clasico
BARANOA,7,158,387,167,106,95,920
CAMPO DE LA CRUZ,4,0,29,6,12,76,127
CANDELARIA,3,1,28,2,1,11,46
GALAPA,38,134,61,35,160,342,770
JUAN DE ACOSTA,3,49,34,9,27,94,216
LURUACO,13,5,47,31,166,10,272
MALAMBO,22,154,159,216,717,231,1499
MANATÍ,4,4,48,6,48,131,241
PALMAR DE VARELA,10,6,22,16,8,15,77
PIOJÓ,0,7,0,6,10,9,32
POLONUEVO,5,197,114,13,27,26,382
PONEDERA,3,6,56,27,8,36,136
PUERTO COLOMBIA,13,38,41,24,67,490,673
REPELÓN,11,1,22,57,5,1,97
SABANAGRANDE,5,12,14,27,18,15,91
SABANALARGA,10,98,318,117,168,297,1008
SANTA LUCÍA,0,0,3,17,8,11,39
SANTO TOMÁS,11,7,11,9,11,16,65
SOLEDAD,317,665,605,455,1518,2051,5611
SUAN,0,1,20,15,4,61,101
TUBARÁ,9,11,3,16,9,27,75
USIACURÍ,12,18,6,2,2,9,49
