departamento,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total_casos_clasico
AMAZONAS,274,485,160,115,62,48,1713,202,312,473,1004,4848
ANTIOQUIA,5761,6762,6779,27622,4088,3668,4978,2133,1238,2007,5239,70275
ARAUCA,1013,704,726,310,297,536,1954,346,262,1412,1203,8763
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",67,99,153,68,23,16,28,69,189,109,123,944
ATLÁNTICO,7550,6523,4317,1361,1157,3245,3905,2613,7661,10143,5384,53859
"BOGOTÁ, D.C.",142,160,0,0,0,0,0,0,0,0,0,302
BOLÍVAR,4447,2864,3035,1204,479,1347,5238,2438,8139,6894,8610,44695
BOYACÁ,685,540,920,2076,195,91,829,505,287,192,331,6651
CALDAS,737,918,1144,781,102,46,431,493,74,180,178,5084
CAQUETÁ,1084,735,834,892,260,187,1200,1781,388,1042,1854,10257
CASANARE,3404,2248,1929,952,414,1198,5591,1090,1090,3855,1419,23190
CAUCA,566,371,621,831,100,177,409,1246,644,546,1782,7293
CESAR,4555,3285,4420,1129,604,2068,7140,2215,1983,3140,4909,35448
CHOCÓ,139,224,322,384,79,83,202,686,471,905,1653,5148
CUNDINAMARCA,4357,3970,3241,4359,1134,1269,3421,3730,948,729,4118,31276
CÓRDOBA,2094,4218,1698,769,576,3880,4802,1673,2610,3849,4207,30376
GUAINÍA,36,199,77,193,9,16,153,41,38,123,102,987
GUAVIARE,291,717,234,298,120,889,545,116,29,650,758,4647
HUILA,4776,6982,4853,3877,1200,1094,10656,6604,1073,1144,4529,46788
LA GUAJIRA,2009,1504,813,226,159,1506,989,390,1177,3128,2785,14686
MAGDALENA,3001,1387,1471,550,148,2116,3569,1049,1897,1459,3408,20055
META,9048,7495,6103,2562,1251,4485,16902,2700,1491,5326,12546,69909
NARIÑO,553,636,395,504,118,168,529,473,674,631,2202,6883
NO IDENTIFICADO,144,185,76,75,49,395,649,199,151,263,245,2431
NORTE DE SANTANDER,7907,8535,4185,2664,1184,4829,6356,1220,2845,2512,4297,46534
PUTUMAYO,1752,1861,1124,1407,347,791,1787,1112,1089,655,1416,13341
QUINDÍO,1926,3322,3684,2550,582,456,470,527,144,84,451,14196
RISARALDA,418,696,1369,2920,175,165,450,547,118,100,252,7210
SANTANDER,15892,14307,8186,6864,1839,2628,9650,3422,924,1865,11285,76862
SUCRE,3444,4711,2861,885,416,684,6248,1583,1369,4695,3355,30251
TOLIMA,12109,8264,9314,5745,2978,3253,14839,6774,1495,3244,12266,80281
VALLE DEL CAUCA,21963,10188,19810,25714,4838,2284,7374,28284,8440,4216,23978,157089
VAUPÉS,26,10,2,11,1,4,204,65,3,11,294,631
VICHADA,271,206,124,173,32,15,383,53,51,82,198,1588
