,año_semana,Femenino,Masculino,Adolescencia,Adulto,Adulto mayor,Ancianidad,Infancia,Menor de 1 año,Primera infancia,Afrocolombiano,Indígena,Otro,Rom,Contributivo,Especial,Excepción,Indeterminado,No asegurado,Subsidiado,Clasico,Grave,Conf. por laboratorio,Conf. por nexo,Probable,No,Si,Fallecido,Vivo,Cabecera municipal,Centro Poblado,Rural disperso,0,7,BARANOA,CAMPO DE LA CRUZ,CANDELARIA,DESCONOCIDO,GALAPA,JUAN DE ACOSTA,LURUACO,MALAMBO,MANATÍ,PALMAR DE VARELA,PIOJÓ,POLONUEVO,PONEDERA,PUERTO COLOMBIA,REPELÓN,SABANAGRANDE,SABANALARGA,SANTA LUCIA,SANTA LUCÍA,SANTO TOMÁS,SOLEDAD,SUAN,TUBARÁ,USIACURÍ,año,semana
0,2017_1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2017,1
1,2017_2,0,3,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,3,0,1,0,2,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2017,2
2,2017_3,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,3
3,2017_4,2,1,0,1,0,0,1,0,1,1,0,2,0,1,0,0,0,0,2,3,0,1,0,2,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2017,4
4,2017_5,1,3,1,0,1,0,1,1,0,0,0,4,0,1,0,0,0,0,3,4,0,2,0,2,2,2,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2017,5
5,2017_6,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2017,6
6,2017_7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7
7,2017_8,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,8
8,2017_9,1,2,1,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,3,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,9
9,2017_10,1,3,2,0,0,0,1,0,1,2,0,2,0,2,0,0,0,0,2,4,0,0,0,4,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2017,10
