municipio,2018,2019,2020,2021,2022,2023,Total
BARANOA,162,395,170,109,96,89,1021
CAMPO DE LA CRUZ,0,30,6,15,79,17,147
CANDELARIA,1,28,2,1,13,7,52
GALAPA,136,62,35,166,362,76,837
JUAN DE ACOSTA,49,34,9,27,99,31,249
LURUACO,5,49,31,168,12,6,271
MALAMBO,157,164,221,730,245,158,1675
MANATÍ,4,49,6,48,137,9,253
PALMAR DE VARELA,6,23,16,8,16,31,100
PIOJÓ,7,0,6,10,10,36,69
POLONUEVO,199,116,13,27,26,13,394
PONEDERA,6,56,27,9,38,50,186
PUERTO COLOMBIA,38,41,25,70,539,53,766
REPELÓN,1,23,57,6,4,4,95
SABANAGRANDE,12,14,27,19,15,7,94
SABANALARGA,99,321,122,174,311,56,1083
SANTA LUCÍA,0,3,17,8,11,2,41
SANTO TOMÁS,7,11,9,11,16,19,73
SOLEDAD,675,610,462,1551,2125,1250,6673
SUAN,1,20,15,4,65,14,119
TUBARÁ,11,4,17,9,29,4,74
USIACURÍ,18,7,2,2,9,212,250
