municipio,año,periodo,num_casos
BARANOA,2018,2,1
BARANOA,2018,4,1
BARANOA,2018,5,1
BARANOA,2018,6,2
BARANOA,2018,7,3
BARANOA,2018,8,7
BARANOA,2018,9,11
BARANOA,2018,10,32
BARANOA,2018,11,24
BARANOA,2018,12,26
BARANOA,2018,13,54
BARANOA,2019,1,55
BARANOA,2019,2,15
BARANOA,2019,3,19
BARANOA,2019,4,2
BARANOA,2019,5,5
BARANOA,2019,6,3
BARANOA,2019,7,6
BARANOA,2019,8,15
BARANOA,2019,9,27
BARANOA,2019,10,42
BARANOA,2019,11,54
BARANOA,2019,12,67
BARANOA,2019,13,85
BARANOA,2020,1,67
BARANOA,2020,2,31
BARANOA,2020,3,8
BARANOA,2020,4,4
BARANOA,2020,6,1
BARANOA,2020,8,7
BARANOA,2020,9,12
BARANOA,2020,10,7
BARANOA,2020,11,9
BARANOA,2020,12,11
BARANOA,2020,13,13
BARANOA,2021,1,4
BARANOA,2021,2,1
BARANOA,2021,4,1
BARANOA,2021,7,1
BARANOA,2021,8,2
BARANOA,2021,9,9
BARANOA,2021,10,24
BARANOA,2021,11,18
BARANOA,2021,12,29
BARANOA,2021,13,20
BARANOA,2022,1,6
BARANOA,2022,2,1
BARANOA,2022,3,1
BARANOA,2022,5,1
BARANOA,2022,6,5
BARANOA,2022,7,4
BARANOA,2022,8,15
BARANOA,2022,9,12
BARANOA,2022,10,11
BARANOA,2022,11,18
BARANOA,2022,12,15
BARANOA,2022,13,7
BARANOA,2023,1,12
BARANOA,2023,2,3
BARANOA,2023,3,2
BARANOA,2023,4,3
BARANOA,2023,5,2
BARANOA,2023,6,3
BARANOA,2023,7,2
BARANOA,2023,8,11
BARANOA,2023,9,6
BARANOA,2023,10,12
BARANOA,2023,11,4
BARANOA,2023,12,15
BARANOA,2023,13,14
CAMPO DE LA CRUZ,2019,5,1
CAMPO DE LA CRUZ,2019,7,7
CAMPO DE LA CRUZ,2019,8,4
CAMPO DE LA CRUZ,2019,9,4
CAMPO DE LA CRUZ,2019,10,2
CAMPO DE LA CRUZ,2019,11,2
CAMPO DE LA CRUZ,2019,12,2
CAMPO DE LA CRUZ,2019,13,8
CAMPO DE LA CRUZ,2020,1,4
CAMPO DE LA CRUZ,2020,3,1
CAMPO DE LA CRUZ,2020,8,1
CAMPO DE LA CRUZ,2021,7,1
CAMPO DE LA CRUZ,2021,8,1
CAMPO DE LA CRUZ,2021,10,2
CAMPO DE LA CRUZ,2021,11,1
CAMPO DE LA CRUZ,2021,12,3
CAMPO DE LA CRUZ,2021,13,7
CAMPO DE LA CRUZ,2022,1,2
CAMPO DE LA CRUZ,2022,2,17
CAMPO DE LA CRUZ,2022,3,5
CAMPO DE LA CRUZ,2022,4,5
CAMPO DE LA CRUZ,2022,5,3
CAMPO DE LA CRUZ,2022,6,11
CAMPO DE LA CRUZ,2022,7,13
CAMPO DE LA CRUZ,2022,8,10
CAMPO DE LA CRUZ,2022,9,6
CAMPO DE LA CRUZ,2022,10,3
CAMPO DE LA CRUZ,2022,11,2
CAMPO DE LA CRUZ,2022,12,2
CAMPO DE LA CRUZ,2023,3,1
CAMPO DE LA CRUZ,2023,5,1
CAMPO DE LA CRUZ,2023,6,1
CAMPO DE LA CRUZ,2023,7,6
CAMPO DE LA CRUZ,2023,8,4
CAMPO DE LA CRUZ,2023,9,1
CAMPO DE LA CRUZ,2023,10,2
CAMPO DE LA CRUZ,2023,13,1
CANDELARIA,2018,11,1
CANDELARIA,2019,5,1
CANDELARIA,2019,6,1
CANDELARIA,2019,7,3
CANDELARIA,2019,8,3
CANDELARIA,2019,9,3
CANDELARIA,2019,10,3
CANDELARIA,2019,11,8
CANDELARIA,2019,12,2
CANDELARIA,2019,13,4
CANDELARIA,2020,1,2
CANDELARIA,2021,10,1
CANDELARIA,2022,5,1
CANDELARIA,2022,6,2
CANDELARIA,2022,7,2
CANDELARIA,2022,8,3
CANDELARIA,2022,9,2
CANDELARIA,2022,11,2
CANDELARIA,2022,12,1
CANDELARIA,2023,2,2
CANDELARIA,2023,9,4
CANDELARIA,2023,13,1
GALAPA,2018,1,1
GALAPA,2018,2,1
GALAPA,2018,4,2
GALAPA,2018,5,3
GALAPA,2018,6,1
GALAPA,2018,7,4
GALAPA,2018,8,6
GALAPA,2018,9,3
GALAPA,2018,10,24
GALAPA,2018,11,19
GALAPA,2018,12,25
GALAPA,2018,13,47
GALAPA,2019,1,24
GALAPA,2019,2,8
GALAPA,2019,3,1
GALAPA,2019,4,3
GALAPA,2019,6,1
GALAPA,2019,7,3
GALAPA,2019,8,3
GALAPA,2019,9,2
GALAPA,2019,10,3
GALAPA,2019,11,2
GALAPA,2019,12,2
GALAPA,2019,13,10
GALAPA,2020,1,23
GALAPA,2020,2,4
GALAPA,2020,3,2
GALAPA,2020,4,1
GALAPA,2020,6,2
GALAPA,2020,12,1
GALAPA,2020,13,2
GALAPA,2021,1,7
GALAPA,2021,2,3
GALAPA,2021,6,1
GALAPA,2021,8,1
GALAPA,2021,9,6
GALAPA,2021,10,29
GALAPA,2021,11,28
GALAPA,2021,12,49
GALAPA,2021,13,42
GALAPA,2022,1,21
GALAPA,2022,2,13
GALAPA,2022,3,5
GALAPA,2022,4,5
GALAPA,2022,5,2
GALAPA,2022,6,11
GALAPA,2022,7,9
GALAPA,2022,8,38
GALAPA,2022,9,39
GALAPA,2022,10,39
GALAPA,2022,11,68
GALAPA,2022,12,59
GALAPA,2022,13,53
GALAPA,2023,1,35
GALAPA,2023,2,13
GALAPA,2023,3,1
GALAPA,2023,4,2
GALAPA,2023,5,2
GALAPA,2023,6,1
GALAPA,2023,7,3
GALAPA,2023,8,9
GALAPA,2023,9,4
GALAPA,2023,10,1
GALAPA,2023,11,2
GALAPA,2023,12,2
GALAPA,2023,13,1
JUAN DE ACOSTA,2018,1,1
JUAN DE ACOSTA,2018,4,1
JUAN DE ACOSTA,2018,5,5
JUAN DE ACOSTA,2018,6,3
