,municipio,año,fecha,humedad,precipitacion,temp_min_C,temp_max_C,latitud,latitud,longitud,longitud
8396,BARANOA,2018,2018-01-01,88.10134887695312,6.679999828338623,23.320825195312523,28.84212646484372,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
8397,CAMPO DE LA CRUZ,2018,2018-01-01,86.50430297851562,6.730000019073486,23.905847167968773,30.760614013671898,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
8398,CANDELARIA,2018,2018-01-01,87.89178466796875,6.730000019073486,23.477166748046898,30.5561462402344,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
8399,GALAPA,2018,2018-01-01,87.76738739013672,0.6800000071525574,23.975976562500023,29.207238769531276,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
8400,JUAN DE ACOSTA,2018,2018-01-01,86.04779052734375,2.0999999046325684,23.65316162109372,29.316430664062523,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
8401,LURUACO,2018,2018-01-01,87.16206529405382,3.62666654586792,23.555457899305623,29.430098470052087,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
8402,MALAMBO,2018,2018-01-01,87.49586995442708,2.6799999475479126,24.132135009765648,29.43005777994796,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
8403,MANATÍ,2018,2018-01-01,85.78253173828125,3.700000047683716,23.90462646484372,30.457177734375023,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
8404,PALMAR DE VARELA,2018,2018-01-01,88.74842071533203,6.679999828338623,23.907739257812523,29.730279541015648,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
8405,PIOJÓ,2018,2018-01-01,86.86891400372541,3.372222105662028,23.56847308123554,29.34321153428812,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
8406,POLONUEVO,2018,2018-01-01,87.98711649576823,6.679999828338623,23.771447753906276,29.33182169596364,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
8407,PONEDERA,2018,2018-01-01,90.52580261230467,6.704999923706055,23.550256347656276,30.295068359375023,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
8408,PUERTO COLOMBIA,2018,2018-01-01,85.51168823242188,0.6800000071525574,24.813745117187523,28.416467285156276,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
8409,REPELÓN,2018,2018-01-01,86.99537206579139,3.905555486679077,23.65883223922168,29.85934516059029,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
8410,SABANAGRANDE,2018,2018-01-01,87.11157989501953,6.679999828338623,24.08577880859372,29.423059082031276,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
8411,SABANALARGA,2018,2018-01-01,88.04151916503906,4.389999866485596,23.516412353515648,29.69075927734372,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
8412,SANTA LUCÍA,2018,2018-01-01,86.49441274007161,5.7200000286102295,23.933323160807333,30.674605305989644,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
8413,SANTO TOMÁS,2018,2018-01-01,87.98711649576823,6.679999828338623,23.771447753906276,29.33182169596364,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
8414,SOLEDAD,2018,2018-01-01,87.608642578125,0.6800000071525574,24.334649658203148,29.659875488281276,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
8415,SUAN,2018,2018-01-01,87.19640350341797,6.730000019073486,23.9894958496094,30.806024169921898,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
8416,TUBARÁ,2018,2018-01-01,87.53097534179688,0.7300000190734863,24.158074951171898,29.095483398437523,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
8417,USIACURÍ,2018,2018-01-01,87.39688618977864,4.389999866485596,23.496799723307333,29.283105468750023,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
8419,BARANOA,2018,2018-01-02,95.5922393798828,5.789999961853027,23.345300292968773,28.900994873046898,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
8420,CAMPO DE LA CRUZ,2018,2018-01-02,90.75806427001952,4.420000076293945,24.276391601562523,29.793817138671898,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
8421,CANDELARIA,2018,2018-01-02,92.00772094726562,4.420000076293945,23.830773925781276,29.6330505371094,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
8422,GALAPA,2018,2018-01-02,90.75870513916016,2.0999999046325684,23.623620605468773,29.785241699218773,10.897721024361596,10.897721024361596,-74.88708921871891,-74.88708921871891
8423,JUAN DE ACOSTA,2018,2018-01-02,93.92391967773438,3.7699999809265137,23.798699951171898,29.108789062500023,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
8424,LURUACO,2018,2018-01-02,94.3169436984592,4.443333201938206,23.65657958984372,29.309048800998312,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
8425,MALAMBO,2018,2018-01-02,91.62122853597003,3.3299999237060547,23.91107584635421,29.842340087890648,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
8426,MANATÍ,2018,2018-01-02,90.08384704589844,4.690000057220459,24.490808105468773,29.6269470214844,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
8427,PALMAR DE VARELA,2018,2018-01-02,93.86587524414062,5.789999961853027,23.930780029296898,29.794885253906276,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
8428,PIOJÓ,2018,2018-01-02,94.29221033166958,4.3311110249272105,23.67801310221364,29.208291060836306,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
