CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),31/12/2016 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),01/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),02/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),03/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),04/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),05/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),06/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),07/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),08/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),09/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),10/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),11/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),12/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),13/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),14/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),15/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),16/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),17/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),18/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),19/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),20/01/2017 00:00,mm,0,Definitivo
